Timestamp,Close,PortfolioValue,TradeDirection,PositionSize
2024-02-13 22:00:00,1.68,100000,,
2024-02-13 22:30:00,1.68,100000,,
2024-02-13 23:00:00,1.68,100000,,
2024-02-13 23:30:00,1.68,100000,,
2024-02-14 00:00:00,1.68,100000,,
2024-02-14 00:30:00,1.67,100000,-1,1275.88
2024-02-14 01:00:00,1.67,100000,,
2024-02-14 01:30:00,1.68,99987.2,-1,1275.88
2024-02-14 02:00:00,1.67,99987.2,-1,1320.31
2024-02-14 02:30:00,1.67,99987.2,,
2024-02-14 03:00:00,1.67,99987.2,,
2024-02-14 03:30:00,1.67,99987.2,,
2024-02-14 04:00:00,1.67,99987.2,,
2024-02-14 04:30:00,1.67,99987.2,,
2024-02-14 05:00:00,1.67,99987.2,,
2024-02-14 05:30:00,1.67,99987.2,,
2024-02-14 06:00:00,1.67,99987.2,,
2024-02-14 06:30:00,1.67,99987.2,,
2024-02-14 07:00:00,1.68,99974,-1,1320.31
2024-02-14 07:30:00,1.66,99974,-1,1327.47
2024-02-14 08:00:00,1.67,99960.8,,
2024-02-14 08:30:00,1.65,99987.3,,
2024-02-14 09:00:00,1.65,99987.3,,
2024-02-14 09:30:00,1.64,100001,,
2024-02-14 10:00:00,1.64,100001,,
2024-02-14 10:30:00,1.63,100014,,
2024-02-14 11:00:00,1.62,100027,,
2024-02-14 11:30:00,1.61,100040,,
2024-02-14 12:00:00,1.62,100027,,
2024-02-14 12:30:00,1.61,100040,,
2024-02-14 13:00:00,1.62,100027,,
2024-02-14 13:30:00,1.62,100027,,
2024-02-14 14:00:00,1.61,100040,,
2024-02-14 14:30:00,1.61,100040,,
2024-02-14 15:00:00,1.61,100040,,
2024-02-14 15:30:00,1.6,100054,,
2024-02-14 16:00:00,1.61,100040,,
2024-02-14 16:30:00,1.61,100040,,
2024-02-14 18:00:00,1.61,100040,,
2024-02-14 18:30:00,1.61,100040,,
2024-02-14 19:00:00,1.62,100027,-1,1327.47
2024-02-14 19:30:00,1.61,100027,-1,1235.35
2024-02-14 20:00:00,1.61,100027,,
2024-02-14 20:30:00,1.61,100027,,
2024-02-14 21:00:00,1.62,100015,-1,1235.35
2024-02-14 21:30:00,1.62,100015,,
2024-02-14 22:00:00,1.62,100015,,
2024-02-14 22:30:00,1.62,100015,,
2024-02-14 23:00:00,1.61,100015,-1,1298.93
2024-02-14 23:30:00,1.62,100002,-1,1298.93
2024-02-15 00:00:00,1.62,100002,,
2024-02-15 00:30:00,1.62,100002,,
2024-02-15 01:00:00,1.62,100002,,
2024-02-15 01:30:00,1.62,100002,,
2024-02-15 02:00:00,1.62,100002,,
2024-02-15 02:30:00,1.62,100002,,
2024-02-15 03:00:00,1.64,100002,,
2024-02-15 03:30:00,1.64,100002,,
2024-02-15 04:00:00,1.64,100002,,
2024-02-15 04:30:00,1.63,100002,,
2024-02-15 05:00:00,1.63,100002,,
2024-02-15 05:30:00,1.63,100002,,
2024-02-15 06:00:00,1.63,100002,,
2024-02-15 06:30:00,1.63,100002,,
2024-02-15 07:00:00,1.64,100002,,
2024-02-15 07:30:00,1.63,100002,,
2024-02-15 08:00:00,1.64,100002,,
2024-02-15 08:30:00,1.67,100002,,
2024-02-15 09:00:00,1.63,100002,,
2024-02-15 09:30:00,1.63,100002,-1,1492.33
2024-02-15 10:00:00,1.62,100017,-1,1492.33
2024-02-15 10:30:00,1.61,100017,,
2024-02-15 11:00:00,1.59,100017,,
2024-02-15 11:30:00,1.58,100017,,
2024-02-15 12:00:00,1.59,100017,,
2024-02-15 12:30:00,1.58,100017,,
2024-02-15 13:00:00,1.6,100017,-1,1223.57
2024-02-15 13:30:00,1.59,100029,,
2024-02-15 14:00:00,1.58,100041,,
2024-02-15 14:30:00,1.59,100029,,
2024-02-15 15:00:00,1.59,100029,,
2024-02-15 15:30:00,1.59,100029,,
2024-02-15 16:00:00,1.59,100029,,
2024-02-15 16:30:00,1.59,100029,,
2024-02-15 18:00:00,1.59,100029,,
2024-02-15 18:30:00,1.58,100041,,
2024-02-15 19:00:00,1.59,100029,,
2024-02-15 19:30:00,1.59,100029,,
2024-02-15 20:00:00,1.59,100029,,
2024-02-15 20:30:00,1.6,100017,-1,1223.57
2024-02-15 21:00:00,1.6,100017,,
2024-02-15 21:30:00,1.61,100017,,
2024-02-15 22:00:00,1.6,100017,,
2024-02-15 22:30:00,1.6,100017,,
2024-02-15 23:00:00,1.6,100017,,
2024-02-15 23:30:00,1.6,100017,,
2024-02-16 00:00:00,1.6,100017,,
2024-02-16 00:30:00,1.59,100017,-1,1292.34
2024-02-16 01:00:00,1.59,100017,,
2024-02-16 01:30:00,1.59,100017,,
2024-02-16 02:00:00,1.59,100017,,
2024-02-16 02:30:00,1.58,100030,,
2024-02-16 03:00:00,1.59,100017,,
2024-02-16 03:30:00,1.58,100030,,
2024-02-16 04:00:00,1.58,100030,,
2024-02-16 04:30:00,1.58,100030,,
2024-02-16 05:00:00,1.59,100017,-1,1292.34
2024-02-16 05:30:00,1.59,100017,,
2024-02-16 06:00:00,1.58,100017,-1,1188.25
2024-02-16 06:30:00,1.59,100005,-1,1188.25
2024-02-16 07:00:00,1.6,100005,,
2024-02-16 07:30:00,1.59,100005,-1,1395.88
2024-02-16 08:00:00,1.59,100005,,
2024-02-16 08:30:00,1.61,99976.9,-1,1395.88
2024-02-16 09:00:00,1.61,99976.9,,
2024-02-16 09:30:00,1.62,99976.9,,
2024-02-16 10:00:00,1.61,99976.9,,
2024-02-16 10:30:00,1.61,99976.9,,
2024-02-16 11:00:00,1.62,99976.9,,
2024-02-16 11:30:00,1.61,99976.9,1,1748.8
2024-02-16 12:00:00,1.61,99976.9,,
2024-02-16 12:30:00,1.6,99959.4,1,1748.8
2024-02-16 13:00:00,1.6,99959.4,,
2024-02-16 13:30:00,1.61,99959.4,1,1764.27
2024-02-16 14:00:00,1.61,99959.4,,
2024-02-16 14:30:00,1.61,99959.4,,
2024-02-16 15:00:00,1.62,99977.1,,
2024-02-16 15:30:00,1.61,99959.4,,
2024-02-16 16:00:00,1.61,99959.4,,
2024-02-16 16:30:00,1.6,99941.8,1,1764.27
2024-02-18 18:00:00,1.56,99941.8,,
2024-02-18 18:30:00,1.55,99941.8,,
2024-02-18 19:00:00,1.56,99941.8,,
2024-02-18 19:30:00,1.56,99941.8,,
2024-02-18 20:00:00,1.55,99941.8,,
2024-02-18 20:30:00,1.55,99941.8,,
2024-02-18 21:00:00,1.55,99941.8,,
2024-02-18 21:30:00,1.55,99941.8,,
2024-02-18 22:00:00,1.55,99941.8,,
2024-02-18 22:30:00,1.55,99941.8,,
2024-02-18 23:00:00,1.55,99941.8,,
2024-02-18 23:30:00,1.54,99941.8,,
2024-02-19 00:00:00,1.55,99941.8,,
2024-02-19 00:30:00,1.55,99941.8,,
2024-02-19 01:00:00,1.56,99941.8,-1,1203.08
2024-02-19 01:30:00,1.56,99941.8,,
2024-02-19 02:00:00,1.57,99929.8,-1,1203.08
2024-02-19 02:30:00,1.56,99929.8,-1,1280.15
2024-02-19 03:00:00,1.55,99942.6,,
2024-02-19 03:30:00,1.56,99929.8,-1,1280.15
2024-02-19 04:00:00,1.55,99929.8,-1,1096.62
2024-02-19 04:30:00,1.56,99918.8,-1,1096.62
2024-02-19 05:00:00,1.57,99918.8,,
2024-02-19 05:30:00,1.56,99918.8,,
2024-02-19 06:00:00,1.56,99918.8,,
2024-02-19 06:30:00,1.56,99918.8,,
2024-02-19 07:00:00,1.55,99918.8,-1,1113.06
2024-02-19 07:30:00,1.56,99907.7,-1,1113.06
2024-02-19 08:00:00,1.55,99907.7,-1,1158.13
2024-02-19 08:30:00,1.57,99884.5,-1,1158.13
2024-02-19 09:00:00,1.58,99884.5,,
2024-02-19 09:30:00,1.57,99884.5,,
2024-02-19 10:00:00,1.57,99884.5,,
2024-02-19 10:30:00,1.55,99884.5,-1,1125.28
2024-02-19 11:00:00,1.56,99873.2,,
